Discount,Shape,COLOR,CLARITY,CUT,POL,SYM,FLUO,Size,Month,Year,,,,,,
-47.0%,RO,D,VVS1,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-47.0%,RO,E,VVS1,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-44.0%,RO,F,VVS1,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-41.0%,RO,G,VVS1,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-38.0%,RO,H,VVS1,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-33.0%,RO,I,VVS1,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-34.0%,RO,J,VVS1,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-33.0%,RO,K,VVS1,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-36.0%,RO,L,VVS1,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-38.0%,RO,M,VVS1,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-47.0%,RO,D,VVS2,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-49.0%,RO,E,VVS2,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-46.0%,RO,F,VVS2,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-42.0%,RO,G,VVS2,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-37.0%,RO,H,VVS2,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-33.0%,RO,I,VVS2,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-34.0%,RO,J,VVS2,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-33.0%,RO,K,VVS2,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-37.0%,RO,L,VVS2,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-38.0%,RO,M,VVS2,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-45.0%,RO,D,VS1,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-46.0%,RO,E,VS1,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-47.0%,RO,F,VS1,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
-43.0%,RO,G,VS1,EX,EX,EX,Medium,1.01-1.09,June,2022,,,,,,
