Price per carat,Clarity,Colour,CO,Month,Year,Size
6462.666667,1,1,1,3,2018,1
5156.166667,2,1,1,3,2018,1
3127.5,3,1,1,3,2018,1
3413.25,0,2,2,3,2018,1
2976.25,1,2,2,3,2018,1
2631.5,2,2,2,3,2018,1
1935,3,2,2,3,2018,1
16065.625,0,0,0,3,2018,2
12233.75,1,0,0,3,2018,2
7848.125,2,0,0,3,2018,2
4239.5,3,0,0,3,2018,2
10159.58333,0,1,1,3,2018,2
8698.083333,1,1,1,3,2018,2
6686.666667,2,1,1,3,2018,2
3799.333333,3,1,1,3,2018,2
4671.75,0,2,2,3,2018,2
4166.25,1,2,2,3,2018,2
3374.25,2,2,2,3,2018,2
2160.75,3,2,2,3,2018,2
3599.75,0,3,2,3,2018,0
3643.5,1,3,2,3,2018,0
3103,2,3,2,3,2018,0
1999.5,3,3,2,3,2018,0
4485,0,3,2,3,2018,1
4137.75,1,3,2,3,2018,1
3656.5,2,3,2,3,2018,1
2354.25,3,3,2,3,2018,1
5959.5,0,3,2,3,2018,2
5448.75,1,3,2,3,2018,2
4501.25,2,3,2,3,2018,2
2870.25,3,3,2,3,2018,2
7923.875,0,0,0,4,2018,0
6644,1,0,0,4,2018,0
4811.25,2,0,0,4,2018,0
3092.75,3,0,0,4,2018,0
5621.833333,0,1,1,4,2018,0
5258.5,1,1,1,4,2018,0
4189.583333,2,1,1,4,2018,0
2733.666667,3,1,1,4,2018,0
2841.25,0,2,2,4,2018,0
2774.5,1,2,2,4,2018,0
2307.25,2,2,2,4,2018,0
1709.25,3,2,2,4,2018,0
10543.5,0,0,0,4,2018,1
8748,1,0,0,4,2018,1
5975.625,2,0,0,4,2018,1
3560.75,3,0,0,4,2018,1
7102.666667,0,1,1,4,2018,1
6462.666667,1,1,1,4,2018,1
5156.166667,2,1,1,4,2018,1
3127.5,3,1,1,4,2018,1
3413.25,0,2,2,4,2018,1
2976.25,1,2,2,4,2018,1
2631.5,2,2,2,4,2018,1
1935,3,2,2,4,2018,1
16065.625,0,0,0,4,2018,2
12233.75,1,0,0,4,2018,2
7848.125,2,0,0,4,2018,2
4239.5,3,0,0,4,2018,2
10159.58333,0,1,1,4,2018,2
8698.083333,1,1,1,4,2018,2
6686.666667,2,1,1,4,2018,2
3799.333333,3,1,1,4,2018,2
4671.75,0,2,2,4,2018,2
4166.25,1,2,2,4,2018,2
3374.25,2,2,2,4,2018,2
2160.75,3,2,2,4,2018,2
3626.5,0,3,2,4,2018,0
3643.5,1,3,2,4,2018,0
3103,2,3,2,4,2018,0
1999.5,3,3,2,4,2018,0
4533,0,3,2,4,2018,1
4168,1,3,2,4,2018,1
3685,2,3,2,4,2018,1
2354.25,3,3,2,4,2018,1
5959.5,0,3,2,4,2018,2
5448.75,1,3,2,4,2018,2
4501.25,2,3,2,4,2018,2
2870.25,3,3,2,4,2018,2
7923.875,0,0,0,5,2018,0
6678.5,1,0,0,5,2018,0
4830.75,2,0,0,5,2018,0
3092.75,3,0,0,5,2018,0
5629.75,0,1,1,5,2018,0
5349.583333,1,1,1,5,2018,0
