SIZE,CL,CO,CU PR,chg%,RANK 3x non,S% 3EX,MFG 3EX,Pur PR 3X NON,SA PR 3X,SA DAY 3EX,CL ST PR 3X,CL DAY 3EX,Rap FR 3X,Rap TO 3X,Fast Mid,Moderate Mid,Slow Mid,CHG in rap qty,CHG in mid rap,HK,JB,Kiran,LAXMI,RATNKALA ,LAKHI,RAYS,CO DIFF,CL DIFF
,VVS2,E,#REF!, ,53,67%,4,, ,30, ,82,-46,-48,-47,,, ,,0,-47,,,,0,0,,
,VS1,E,#REF!, ,66,33%,8,, ,9, ,169,-43,-48,-46.5,,, ,,0,0,,,,0,0,,
,VS2,E,#REF!, ,63,17%,19,, ,9, ,163,-45,-45,-45,,, ,,0,-44,,,,0,0,,
,SI1,E,#REF!, ,58,0%,38,, , , ,82,-38,-50,-40,,, ,,0,-44,,,,0,-48,,
,SI2,E,#REF!, ,54,0%,20,, , , ,321,-36,-50,-46,,, ,,0,-35,,,,0,-41,,
,IF,F,#REF!, ,27, ,0,, , , , ,-45,-45,-45,,, ,,0,0,,,,0,0,,
,VVS1,F,#REF!, ,30, ,1,, , , , ,-45,-47,-46,,, ,,0,0,,,,0,0,,
,VVS2,F,#REF!, ,49,100%,8,, ,26, , ,-45,-47,-46,,, ,,0,0,,,,0,0,,
,VS1,F,#REF!, ,63, ,6,, , , , ,-40,-47,-42,,, ,,0,0,,,,0,0,,
,VS2,F,#REF!, ,62,0%,21,, , , ,204,-40,-46,-42,,, ,,0,0,,,,0,0,,
,SI1,F,#REF!, ,55,0%,34,, , , ,67,-36,-48,-44,,, ,,0,-41,,,,0,0,,
,SI2,F,#REF!, ,55, ,14,, , , , ,-35,-47,-43.5,,, ,,-44,-33,,,,0,0,,
,IF,G,#REF!, ,43,33%,0,, ,68, ,116,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,G,#REF!, ,38,29%,0,, ,167, ,155,-42,-46,-42,,, ,,0,0,,,,0,0,,
,VVS2,G,#REF!, ,64,25%,2,, ,153, ,206,-39,-44,-41,,, ,,0,-40,,,,0,0,,
,VS1,G,#REF!, ,63,29%,5,, ,38, ,63,-43,-43,-43,,, ,,0,-42,,,,0,0,,
,VS2,G,#REF!, ,62,5%,9,, ,116, ,67,-35,-45,-43,,, ,,0,0,,,,0,0,,
,SI1,G,#REF!, ,59,0%,18,, , , ,86,-32,-47,-38,,, ,,0,-38,,,,0,0,,
,SI2,G,#REF!, ,64,0%,15,, , , ,54,-30,-44,-42,,, ,,0,0,,,,0,0,,
,IF,H,#REF!, ,53,0%,0,, , , ,66,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,H,#REF!, ,62,0%,1,, , , ,102,-41,-45,-45,,, ,,0,0,,,,0,0,,
,VVS2,H,#REF!, ,64,67%,5,, ,152, ,156,-33,-42,-40,,, ,,0,0,,,,0,0,,
,VS1,H,#REF!, ,60,0%,7,, , , ,89,-39,-41,-40,,, ,,0,0,,,,0,-39,,
,VS2,H,#REF!, ,62,0%,4,, , , ,40,-31,-41,-38,,, ,,0,0,,,,0,-39,,
,SI1,H,#REF!, ,56,0%,12,, , , ,165,-28,-41,-36,,, ,,0,0,,,,0,-41,,
,SI2,H,#REF!, ,66, ,16,, , , , ,-28,-40,-31,,, ,,0,0,,,,0,0,,
,IF,I,#REF!, ,28, ,0,, , , , ,-47,-47,-47,,, ,,0,0,,,,0,0,,
,VVS1,I,#REF!, ,41,33%,0,, ,167, ,70,-36,-44,-36,,, ,,0,0,,,,0,0,,
,VVS2,I,#REF!, ,42,0%,10,, , , ,52,-35,-42,-37,,, ,,0,0,,,,0,0,,
,VS1,I,#REF!, ,41,0%,6,, , , ,122,-44,-44,-44,,, ,,0,0,,,,0,0,,
,VS2,I,#REF!, ,65,17%,3,, ,203, ,58,-39,-40,-40,,, ,,0,0,,,,0,0,,
,SI1,I,#REF!, ,61, ,5,, , , , ,-27,-40,-28,,, ,,0,0,,,,0,-40,,
,SI2,I,#REF!, ,50,0%,7,, , , ,30,-26,-44,-30,,, ,,0,-30,,,,0,0,,
,IF,J,#REF!, ,43, ,0,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,J,#REF!, ,49,9%,0,, ,65, ,51,-37,-46,-43,,, ,,0,0,,,,0,-46,,
,VVS2,J,#REF!, ,54,0%,3,, , , ,80,-33,-43,-37.5,,, ,,0,0,,,,0,-43,,
,VS1,J,#REF!, ,49,0%,0,, , , ,12,-38,-45,-42,,, ,,0,0,,,,0,-38,,
,VS2,J,#REF!, ,57, ,1,, , , , ,-2,-2,-2,,, ,,-36,0,,,,0,0,,
,SI1,J,#REF!, ,63,0%,3,, , , ,68,-25,-35,-25,,, ,,0,0,,,,0,0,,
,SI2,J,#REF!, ,71,0%,2,, , , ,64,-26,-42,-26,,, ,,0,0,,,,0,0,,
,IF,K,#REF!, ,42,0%,0,, , , ,45,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,K,#REF!, ,35,0%,0,, , , ,70,-35,-45,-43,,, ,,0,0,,,,0,0,,
,VVS2,K,#REF!, ,38,10%,2,, ,95, ,107,-35,-40,-39,,, ,,0,0,,,,0,0,,
,VS1,K,#REF!, ,34,0%,1,, , , ,95,-36,-42,-38,,, ,,0,0,,,,0,0,,
,VS2,K,#REF!, ,43,0%,2,, , ,-47,12,-37,-40,-39.5,,, ,,0,0,,,,0,-39,,
,SI1,K,#REF!, ,63, ,2,, , ,-51, ,-23,-48,-28,,, ,,0,0,,,,0,0,,
,SI2,K,#REF!, ,76,0%,1,, , , ,82,-14,-40,-38,,, ,,0,0,,,,0,0,,
,IF,L,#REF!, ,44, ,0,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,L,#REF!, ,49,0%,0,, , , ,43,-44,-44,-44,,, ,,0,0,,,,0,0,,
,VVS2,L,#REF!, ,51,0%,0,, , , ,77,-41,-41,-41,,, ,,0,0,,,,0,0,,
,VS1,L,#REF!, ,74,0%,3,, , , ,66,-33,-33,-33,,, ,,0,0,,,,0,0,,
,VS2,L,#REF!, ,76,0%,1,, , , ,155,-23,-36,-35,,, ,,0,0,,,,0,0,,
,SI1,L,#REF!, ,75, ,0,, , , , ,-23,-45,-39,,, ,,0,0,,,,0,0,,
,SI2,L,#REF!, ,76, ,1,, , , , ,-50,-50,-50,,, ,,0,0,,,,0,0,,
,IF,M,#REF!, ,50, , ,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,M,#REF!, ,56,0%, ,, , , ,102,0,0,0,,, ,,0,0,,,,0,0,,
,VVS2,M,#REF!, ,60,0%, ,, , , ,123,-42,-47,-44.5,,, ,,0,0,,,,0,0,,
,VS1,M,#REF!, ,59,0%, ,, , , ,120,-41,-44,-42.5,,, ,,0,0,,,,0,0,,
,VS2,M,#REF!, ,56, , ,, , , , ,-23,-47,-42.5,,, ,,0,0,,,,0,0,,
,SI1,M,#REF!, ,53,0%, ,, , , ,139,-28,-41,-28,,, ,,0,0,,,,0,0,,
,SI2,M,#REF!, ,65, , ,, , , , ,-55,-55,-55,,, ,,0,0,,,,0,0,,
0.30-0.34 GD MED,IF,D,#REF!, ,66, ,0,, , , , ,-56,-56,-56,,, ,,0,0,,,,0,0,,
,VVS1,D,#REF!, ,47,0%,2,, , , ,7,-53,-59,-59,,, ,,0,0,,,,0,0,,
,VVS2,D,#REF!, ,47,0%,15,, , , ,26,-50,-51,-51,,, ,,0,-49,,,,0,0,,
,VS1,D,#REF!, ,52,0%,10,, , , ,122,-46,-51,-51,,, ,,0,0,,,,0,0,,
,VS2,D,#REF!, ,70,0%,22,, , , ,98,-47,-50,-49,,, ,,0,0,,,,0,0,,
,SI1,D,#REF!, ,53,0%,32,, , , ,35,-50,-57,-52,,, ,,0,0,,,,0,-57,,
,SI2,D,#REF!, ,47,0%,39,, , , ,201,-41,-49,-46,,, ,,0,0,,,,0,0,,
,IF,E,#REF!, ,21, ,0,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,E,#REF!, ,24,0%,0,, , , ,18,-48,-50,-48,,, ,,0,0,,,,0,0,,
,VVS2,E,#REF!, ,53,67%,4,, ,30, ,82,-42,-48,-46,,, ,,0,0,,,,-48,0,,
,VS1,E,#REF!, ,66,33%,8,, ,9, ,169,-48,-49,-49,,, ,,0,0,,,,0,0,,
,VS2,E,#REF!, ,63,17%,19,, ,9, ,163,0,0,0,,, ,,-46,0,,,,0,0,,
,SI1,E,#REF!, ,58,0%,38,, , , ,82,-40,-44,-41,,, ,,0,-47,,,,0,0,,
,SI2,E,#REF!, ,54,0%,20,, , , ,321,-36,-52,-47,,, ,,0,0,,,,0,0,,
,IF,F,#REF!, ,27, ,0,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,F,#REF!, ,30, ,1,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS2,F,#REF!, ,49,100%,8,, ,26, , ,-47,-48,-47.5,,, ,,0,0,,,,-48,0,,
,VS1,F,#REF!, ,63, ,6,, , , , ,-45,-45,-45,,, ,,0,0,,,,0,0,,
,VS2,F,#REF!, ,62,0%,21,, , , ,204,0,0,0,,, ,,0,0,,,,0,0,,
,SI1,F,#REF!, ,55,0%,34,, , , ,67,-43,-47,-45,,, ,,-51,0,,,,0,0,,
,SI2,F,#REF!, ,55, ,14,, , , , ,-46,-49,-46,,, ,,0,0,,,,0,0,,
,IF,G,#REF!, ,43,33%,0,, ,68, ,116,-45,-45,-45,,, ,,0,0,,,,0,0,,
,VVS1,G,#REF!, ,38,29%,0,, ,167, ,155,-43,-43,-43,,, ,,0,0,,,,0,0,,
,VVS2,G,#REF!, ,64,25%,2,, ,153, ,206,-45,-46,-45,,, ,,0,-43,,,,0,0,,
,VS1,G,#REF!, ,63,29%,5,, ,38, ,63,-44,-44,-44,,, ,,0,0,,,,0,-44,,
,VS2,G,#REF!, ,62,5%,9,, ,116, ,67,-43,-43,-43,,, ,,0,0,,,,0,0,,
,SI1,G,#REF!, ,59,0%,18,, , , ,86,-37,-46,-42,,, ,,0,-40,,,,0,0,,
,SI2,G,#REF!, ,64,0%,15,, , , ,54,-30,-48,-43,,, ,,0,-33,,,,0,0,,
,IF,H,#REF!, ,53,0%,0,, , , ,66,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,H,#REF!, ,62,0%,1,, , , ,102,0,0,0,,, ,,0,0,,,,0,0,,
,VVS2,H,#REF!, ,64,67%,5,, ,152, ,156,-40,-41,-41,,, ,,0,0,,,,0,0,,
,VS1,H,#REF!, ,60,0%,7,, , , ,89,-39,-40,-40,,, ,,0,0,,,,-40,0,,
,VS2,H,#REF!, ,62,0%,4,, , , ,40,-38,-44,-42,,, ,,0,0,,,,0,0,,
,SI1,H,#REF!, ,56,0%,12,, , , ,165,-32,-41,-39,,, ,,0,-39,,,,0,0,,
,SI2,H,#REF!, ,66, ,16,, , , , ,-38,-43,-41,,, ,,0,0,,,,0,0,,
,IF,I,#REF!, ,28, ,0,, , , , ,-41,-43,-41,,, ,,0,0,,,,0,0,,
,VVS1,I,#REF!, ,41,33%,0,, ,167, ,70,-46,-46,-46,,, ,,0,0,,,,0,0,,
,VVS2,I,#REF!, ,42,0%,10,, , , ,52,-39,-44,-41,,, ,,0,0,,,,0,0,,
,VS1,I,#REF!, ,41,0%,6,, , , ,122,-41,-41,-41,,, ,,0,0,,,,0,0,,
,VS2,I,#REF!, ,65,17%,3,, ,203, ,58,-44,-45,-44.5,,, ,,0,-39,,,,0,0,,
,SI1,I,#REF!, ,61, ,5,, , , , ,-39,-42,-40,,, ,,0,0,,,,0,0,,
,SI2,I,#REF!, ,50,0%,7,, , , ,30,-39,-46,-41,,, ,,0,0,,,,0,0,,
,IF,J,#REF!, ,43, ,0,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,J,#REF!, ,49,9%,0,, ,65, ,51,-43,-43,-43,,, ,,0,0,,,,0,0,,
,VVS2,J,#REF!, ,54,0%,3,, , , ,80,-32,-43,-37.5,,, ,,0,0,,,,0,0,,
,VS1,J,#REF!, ,49,0%,0,, , , ,12,-36,-40,-38,,, ,,0,0,,,,0,-40,,
,VS2,J,#REF!, ,57, ,1,, , , , ,-37,-37,-37,,, ,,0,0,,,,0,0,,
,SI1,J,#REF!, ,63,0%,3,, , , ,68,-32,-44,-40,,, ,,0,0,,,,0,0,,
,SI2,J,#REF!, ,71,0%,2,, , , ,64,-37,-37,-37,,, ,,0,0,,,,0,0,,
,IF,K,#REF!, ,42,0%,0,, , , ,45,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,K,#REF!, ,35,0%,0,, , , ,70,-46,-46,-46,,, ,,0,0,,,,0,0,,
,VVS2,K,#REF!, ,38,10%,2,, ,95, ,107,-44,-44,-44,,, ,,0,0,,,,0,0,,
,VS1,K,#REF!, ,34,0%,1,, , , ,95,-36,-36,-36,,, ,,0,0,,,,0,0,,
,VS2,K,#REF!, ,43,0%,2,, , , ,12,-41,-41,-41,,, ,,0,0,,,,0,0,,
,SI1,K,#REF!, ,63, ,2,, , , , ,-40,-40,-40,,, ,,0,0,,,,0,0,,
,SI2,K,#REF!, ,76,0%,1,, , , ,82,-37,-37,-37,,, ,,0,0,,,,0,0,,
,IF,L,#REF!, ,44, ,0,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,L,#REF!, ,49,0%,0,, , , ,43,-39,-39,-39,,, ,,0,0,,,,0,0,,
,VVS2,L,#REF!, ,51,0%,0,, , , ,77,-39,-46,-46,,, ,,0,0,,,,-46,0,,
,VS1,L,#REF!, ,74,0%,3,, , , ,66,-38,-38,-38,,, ,,0,0,,,,0,0,,
,VS2,L,#REF!, ,76,0%,1,, , , ,155,-35,-41,-38,,, ,,0,0,,,,0,0,,
,SI1,L,#REF!, ,75, ,0,, , , , ,-41,-41,-41,,, ,,0,0,,,,0,0,,
,SI2,L,#REF!, ,76, ,1,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,IF,M,#REF!, ,50, , ,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,M,#REF!, ,56,0%, ,, , , ,102,0,0,0,,, ,,0,0,,,,0,0,,
,VVS2,M,#REF!, ,60,0%, ,, , , ,123,-51,-51,-51,,, ,,0,0,,,,0,0,,
,VS1,M,#REF!, ,59,0%, ,, , , ,120,0,0,0,,, ,,0,0,,,,0,0,,
,VS2,M,#REF!, ,56, , ,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,SI1,M,#REF!, ,53,0%, ,, , , ,139,-46,-46,-46,,, ,,0,0,,,,0,0,,
,SI2,M,#REF!, ,65, , ,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
0.30-0.34 GD STG,IF,D,#REF!, ,66, ,0,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,D,#REF!, ,47,0%,2,, , , ,7,0,0,0,,, ,,0,0,,,,0,0,,
,VVS2,D,#REF!, ,47,0%,15,, , , ,26,0,0,0,,, ,,0,0,,,,0,0,,
,VS1,D,#REF!, ,52,0%,10,, , , ,122,0,0,0,,, ,,0,0,,,,0,0,,
,VS2,D,#REF!, ,70,0%,22,, , , ,98,-52,-52,-52,,, ,,0,0,,,,0,0,,
,SI1,D,#REF!, ,53,0%,32,, , , ,35,-44,-52,-47,,, ,,0,0,,,,0,0,,
,SI2,D,#REF!, ,47,0%,39,, , , ,201,-44,-48,-46,,, ,,-56,0,,,,0,0,,
,IF,E,#REF!, ,21, ,0,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,E,#REF!, ,24,0%,0,, , , ,18,-44,-44,-44,,, ,,0,0,,,,0,0,,
,VVS2,E,#REF!, ,53,67%,4,, ,30, ,82,0,0,0,,, ,,0,0,,,,0,0,,
,VS1,E,#REF!, ,66,33%,8,, ,9, ,169,0,0,0,,, ,,0,0,,,,0,0,,
,VS2,E,#REF!, ,63,17%,19,, ,9, ,163,0,0,0,,, ,,0,0,,,,0,0,,
,SI1,E,#REF!, ,58,0%,38,, , , ,82,-48,-53,-50.5,,, ,,0,0,,,,0,-51,,
,SI2,E,#REF!, ,54,0%,20,, , , ,321,-48,-48,-48,,, ,,0,0,,,,0,0,,
,IF,F,#REF!, ,27, ,0,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,F,#REF!, ,30, ,1,, , , , ,-49,-49,-49,,, ,,0,0,,,,0,0,,
,VVS2,F,#REF!, ,49,100%,8,, ,26, , ,0,0,0,,, ,,0,0,,,,0,0,,
,VS1,F,#REF!, ,63, ,6,, , , , ,-41,-47,-44,,, ,,0,0,,,,0,0,,
,VS2,F,#REF!, ,62,0%,21,, , , ,204,0,0,0,,, ,,0,0,,,,0,0,,
,SI1,F,#REF!, ,55,0%,34,, , , ,67,-42,-48,-42,,, ,,0,0,,,,0,0,,
,SI2,F,#REF!, ,55, ,14,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,IF,G,#REF!, ,43,33%,0,, ,68, ,116,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,G,#REF!, ,38,29%,0,, ,167, ,155,0,0,0,,, ,,0,0,,,,0,0,,
,VVS2,G,#REF!, ,64,25%,2,, ,153, ,206,0,0,0,,, ,,0,0,,,,0,0,,
,VS1,G,#REF!, ,63,29%,5,, ,38, ,63,0,0,0,,, ,,0,0,,,,0,0,,
,VS2,G,#REF!, ,62,5%,9,, ,116, ,67,-44,-44,-44,,, ,,0,0,,,,0,-44,,
,SI1,G,#REF!, ,59,0%,18,, , , ,86,-40,-48,-42,,, ,,0,0,,,,0,0,,
,SI2,G,#REF!, ,64,0%,15,, , , ,54,-43,-48,-46.5,,, ,,0,0,,,,0,0,,
,IF,H,#REF!, ,53,0%,0,, , , ,66,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,H,#REF!, ,62,0%,1,, , , ,102,0,0,0,,, ,,0,0,,,,0,0,,
,VVS2,H,#REF!, ,64,67%,5,, ,152, ,156,-43,-43,-43,,, ,,0,0,,,,0,0,,
,VS1,H,#REF!, ,60,0%,7,, , , ,89,-42,-45,-43.5,,, ,,0,0,,,,0,0,,
,VS2,H,#REF!, ,62,0%,4,, , , ,40,-40,-48,-46,,, ,,0,0,,,,0,0,,
,SI1,H,#REF!, ,56,0%,12,, , , ,165,-40,-45,-41,,, ,,0,0,,,,0,0,,
,SI2,H,#REF!, ,66, ,16,, , , , ,-37,-42,-39.5,,, ,,0,0,,,,0,-37,,
,IF,I,#REF!, ,28, ,0,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,I,#REF!, ,41,33%,0,, ,167, ,70,-47,-47,-47,,, ,,0,0,,,,-47,0,,
,VVS2,I,#REF!, ,42,0%,10,, , , ,52,0,0,0,,, ,,0,0,,,,0,0,,
,VS1,I,#REF!, ,41,0%,6,, , , ,122,-44,-46,-45.5,,, ,,0,0,,,,0,0,,
,VS2,I,#REF!, ,65,17%,3,, ,203, ,58,-38,-47,-45.5,,, ,,0,0,,,,0,0,,
,SI1,I,#REF!, ,61, ,5,, , , , ,-23,-38,-30.5,,, ,,0,0,,,,0,-38,,
,SI2,I,#REF!, ,50,0%,7,, , , ,30,-32,-32,-32,,, ,,0,0,,,,0,0,,
,IF,J,#REF!, ,43, ,0,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,J,#REF!, ,49,9%,0,, ,65, ,51,0,0,0,,, ,,0,0,,,,0,0,,
,VVS2,J,#REF!, ,54,0%,3,, , , ,80,-42,-44,-42,,, ,,0,0,,,,0,0,,
,VS1,J,#REF!, ,49,0%,0,, , , ,12,-38,-44,-41,,, ,,0,0,,,,0,-38,,
,VS2,J,#REF!, ,57, ,1,, , , , ,-37,-37,-37,,, ,,0,0,,,,0,0,,
,SI1,J,#REF!, ,63,0%,3,, , , ,68,-38,-38,-38,,, ,,0,0,,,,-38,0,,
,SI2,J,#REF!, ,71,0%,2,, , , ,64,-39,-42,-40.5,,, ,,0,0,,,,0,-39,,
,IF,K,#REF!, ,42,0%,0,, , , ,45,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,K,#REF!, ,35,0%,0,, , , ,70,0,0,0,,, ,,0,0,,,,0,0,,
,VVS2,K,#REF!, ,38,10%,2,, ,95, ,107,-47,-48,-47.5,,, ,,0,0,,,,0,0,,
,VS1,K,#REF!, ,34,0%,1,, , , ,95,-41,-41,-41,,, ,,0,0,,,,0,0,,
,VS2,K,#REF!, ,43,0%,2,, , , ,12,0,0,0,,, ,,0,0,,,,0,0,,
,SI1,K,#REF!, ,63, ,2,, , , , ,-38,-38,-38,,, ,,0,0,,,,0,0,,
,SI2,K,#REF!, ,76,0%,1,, , , ,82,-39,-40,-39.5,,, ,,0,0,,,,0,0,,
,IF,L,#REF!, ,44, ,0,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,L,#REF!, ,49,0%,0,, , , ,43,0,0,0,,, ,,0,0,,,,0,0,,
,VVS2,L,#REF!, ,51,0%,0,, , , ,77,0,0,0,,, ,,0,0,,,,0,0,,
,VS1,L,#REF!, ,74,0%,3,, , , ,66,-40,-40,-40,,, ,,0,0,,,,0,0,,
,VS2,L,#REF!, ,76,0%,1,, , , ,155,-44,-44,-44,,, ,,0,0,,,,0,0,,
,SI1,L,#REF!, ,75, ,0,, , , , ,-35,-35,-35,,, ,,0,0,,,,0,0,,
,SI2,L,#REF!, ,76, ,1,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,IF,M,#REF!, ,50, , ,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,VVS1,M,#REF!, ,56,0%, ,, , , ,102,0,0,0,,, ,,0,0,,,,0,0,,
,VVS2,M,#REF!, ,60,0%, ,, , , ,123,0,0,0,,, ,,0,0,,,,0,0,,
,VS1,M,#REF!, ,59,0%, ,, , , ,120,-42,-42,-42,,, ,,0,0,,,,0,0,,
,VS2,M,#REF!, ,56, , ,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,SI1,M,#REF!, ,53,0%, ,, , , ,139,-37,-37,-37,,, ,,0,0,,,,0,0,,
,SI2,M,#REF!, ,65, , ,, , , , ,0,0,0,,, ,,0,0,,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,

