SIZE,CL,CO,CU PR,chg%,RANK 3x non,S% 3EX,MFG 3EX,Pur PR 3X NON,SA PR 3X,SA DAY 3EX,CL ST PR 3X,CL DAY 3EX,Rap FR 3X,Rap TO 3X,Fast Mid,Moderate Mid,Slow Mid,CHG in rap qty,CHG in mid rap,HK,JB,Kiran,LAXMI,RATNKALA ,LAKHI,RAYS,CO DIFF,CL DIFF
,VS1,E,#REF!, ,66,33%,8,, ,9, ,169,-32,-50,-44,,, ,,-42,-42,,,,-45,-46,,
,VS2,E,#REF!, ,63,17%,19,, ,9, ,163,-37,-48,-45,,, ,,-44,-41,,,,-47,-43,,
,SI1,E,#REF!, ,58,0%,38,, , , ,82,-42,-51,-44,,, ,,-42,-43,,,,0,-43,,
,SI2,E,#REF!, ,54,0%,20,, , , ,321,-38,-48,-43,,, ,,-44,-43,,,,0,-43,,
,IF,F,#REF!, ,27, ,0,, , , , ,-42,-50,-47,,, ,,0,-46,,,,0,0,,
,VVS1,F,#REF!, ,30, ,1,, , ,-51, ,-38,-48,-45,,, ,,-43,-42,,,,-46,0,,
,VVS2,F,#REF!, ,49,100%,8,,VG FNT,26, , ,-33,-48,-45,,, ,,0,-43,,,,-44,0,,
,VS1,F,#REF!, ,63, ,6,,D, , , ,-35,-47,-44,,, ,,-42,-42,,,,0,-44,,
,VS2,F,#REF!, ,62,0%,21,, , , ,204,-36,-46,-42,,, ,,-41,-40,,,,-44,0,,
,SI1,F,#REF!, ,55,0%,34,, , , ,67,-40,-49,-42,,, ,,-47,-41,,,,-43,0,,
,SI2,F,#REF!, ,55, ,14,,-55, , , ,-34,-50,-40,,, ,,-47,-39,,,,0,0,,
,IF,G,#REF!, ,43,33%,0,, ,68, ,116,-39,-49,-45,,, ,,0,-45,,,,0,0,,
,VVS1,G,#REF!, ,38,29%,0,, ,167,-50,155,-37,-48,-45,,, ,,0,-44,,,,-31,0,,
