Price per carat,Size,Colour,Clarity,Month,Year,Rapper,Rappri
4615,1.01-1.09,G,SI1,May,2017,-35,7100
3746.5,1.01-1.09,G,SI2,May,2017,-36.5,5900
2961,1.01-1.09,G,I1,May,2017,-29.5,4200
5162,1.01-1.09,H,IF,May,2017,-42,8900
5481,1.01-1.09,H,VVS1,May,2017,-37,8700
5143.5,1.01-1.09,H,VVS2,May,2017,-36.5,8100
5016,1.01-1.09,H,VS1,May,2017,-34,7600
4824,1.01-1.09,H,VS2,May,2017,-33,7200
4257.5,1.01-1.09,H,SI1,May,2017,-34.5,6500
3584,1.01-1.09,H,SI2,May,2017,-36,5600
2820,1.01-1.09,H,I1,May,2017,-29.5,4000
4712,1.01-1.09,I,IF,May,2017,-38,7600
4699,1.01-1.09,I,VVS1,May,2017,-36.5,7400
4416,1.01-1.09,I,VVS2,May,2017,-36,6900
4388.5,1.01-1.09,I,VS1,May,2017,-34.5,6700
4288,1.01-1.09,I,VS2,May,2017,-33,6400
3810,1.01-1.09,I,SI1,May,2017,-36.5,6000
3224,1.01-1.09,I,SI2,May,2017,-38,5200
2538,1.01-1.09,I,I1,May,2017,-29.5,3600
3658,1.01-1.09,J,IF,May,2017,-41,6200
3720,1.01-1.09,J,VVS1,May,2017,-38,6000
3776,1.01-1.09,J,VVS2,May,2017,-36,5900
3648,1.01-1.09,J,VS1,May,2017,-36,5700
3575,1.01-1.09,J,VS2,May,2017,-35,5500
3238.5,1.01-1.09,J,SI1,May,2017,-36.5,5100
2914,1.01-1.09,J,SI2,May,2017,-38,4700
2096,1.01-1.09,J,I1,May,2017,-34.5,3200
2958,1.01-1.09,K,IF,May,2017,-42,5100
3087,1.01-1.09,K,VVS1,May,2017,-37,4900
2984.5,1.01-1.09,K,VVS2,May,2017,-36.5,4700
2970,1.01-1.09,K,VS1,May,2017,-34,4500
2838,1.01-1.09,K,VS2,May,2017,-34,4300
2665,1.01-1.09,K,SI1,May,2017,-35,4100
2356,1.01-1.09,K,SI2,May,2017,-38,3800
1965,1.01-1.09,K,I1,May,2017,-34.5,3000
2760,1.01-1.09,L,IF,May,2017,-40,4600
2794,1.01-1.09,L,VVS1,May,2017,-36.5,4400
2752,1.01-1.09,L,VVS2,May,2017,-36,4300
2726.5,1.01-1.09,L,VS1,May,2017,-33.5,4100
2613,1.01-1.09,L,VS2,May,2017,-33,3900
2358,1.01-1.09,L,SI1,May,2017,-34.5,3600
2099.5,1.01-1.09,L,SI2,May,2017,-38.3,3400
1834,1.01-1.09,L,I1,May,2017,-34.5,2800
2378,1.01-1.09,M,IF,May,2017,-42,4100
2281.5,1.01-1.09,M,VVS1,May,2017,-41.5,3900
2238.5,1.01-1.09,M,VVS2,May,2017,-39.5,3700
2304,1.01-1.09,M,VS1,May,2017,-36,3600
2210,1.01-1.09,M,VS2,May,2017,-35,3400
2048,1.01-1.09,M,SI1,May,2017,-36,3200
1798,1.01-1.09,M,SI2,May,2017,-38,2900
1637.5,1.01-1.09,M,I1,May,2017,-34.5,2500
12627,1.01-1.09,D,IF,Jun,2017,-39,20700
10230,1.01-1.09,D,VVS1,Jun,2017,-38,16500
8856,1.01-1.09,D,VVS2,Jun,2017,-38.5,14400
7925.5,1.01-1.09,D,VS1,Jun,2017,-34.5,12100
7115.5,1.01-1.09,D,VS2,Jun,2017,-33.5,10700
5371,1.01-1.09,D,SI1,Jun,2017,-34.5,8200
4416,1.01-1.09,D,SI2,Jun,2017,-36,6900
3313.5,1.01-1.09,D,I1,Jun,2017,-29.5,4700
9420,1.01-1.09,E,IF,Jun,2017,-40,15700
8866,1.01-1.09,E,VVS1,Jun,2017,-38,14300
7429.5,1.01-1.09,E,VVS2,Jun,2017,-36.5,11700
6955,1.01-1.09,E,VS1,Jun,2017,-35,10700
6222.5,1.01-1.09,E,VS2,Jun,2017,-34.5,9500
5135,1.01-1.09,E,SI1,Jun,2017,-35,7900
4224,1.01-1.09,E,SI2,Jun,2017,-36,6600
3172.5,1.01-1.09,E,I1,Jun,2017,-29.5,4500
7980,1.01-1.09,F,IF,Jun,2017,-40,13300
7860,1.01-1.09,F,VVS1,Jun,2017,-34.5,12000
7008.5,1.01-1.09,F,VVS2,Jun,2017,-34.5,10700
6664,1.01-1.09,F,VS1,Jun,2017,-32,9800
5977,1.01-1.09,F,VS2,Jun,2017,-30.5,8600
5054,1.01-1.09,F,SI1,Jun,2017,-33.5,7600
4063.5,1.01-1.09,F,SI2,Jun,2017,-35.5,6300
3102,1.01-1.09,F,I1,Jun,2017,-29.5,4400
6600,1.01-1.09,G,IF,Jun,2017,-40,11000
6667.5,1.01-1.09,G,VVS1,Jun,2017,-36.5,10500
6127.5,1.01-1.09,G,VVS2,Jun,2017,-35.5,9500
5891,1.01-1.09,G,VS1,Jun,2017,-31.5,8600
5451,1.01-1.09,G,VS2,Jun,2017,-31,7900
4721.5,1.01-1.09,G,SI1,Jun,2017,-33.5,7100
3805.5,1.01-1.09,G,SI2,Jun,2017,-35.5,5900
2961,1.01-1.09,G,I1,Jun,2017,-29.5,4200
5429,1.01-1.09,H,IF,Jun,2017,-39,8900
5524.5,1.01-1.09,H,VVS1,Jun,2017,-36.5,8700
5305.5,1.01-1.09,H,VVS2,Jun,2017,-34.5,8100
5206,1.01-1.09,H,VS1,Jun,2017,-31.5,7600
5004,1.01-1.09,H,VS2,Jun,2017,-30.5,7200
4322.5,1.01-1.09,H,SI1,Jun,2017,-33.5,6500
3640,1.01-1.09,H,SI2,Jun,2017,-35,5600
2820,1.01-1.09,H,I1,Jun,2017,-29.5,4000
4484,1.01-1.09,I,IF,Jun,2017,-41,7600
4625,1.01-1.09,I,VVS1,Jun,2017,-37.5,7400
4450.5,1.01-1.09,I,VVS2,Jun,2017,-35.5,6900
4422,1.01-1.09,I,VS1,Jun,2017,-34,6700
4352,1.01-1.09,I,VS2,Jun,2017,-32,6400
3900,1.01-1.09,I,SI1,Jun,2017,-35,6000
3276,1.01-1.09,I,SI2,Jun,2017,-37,5200
